,rod_id,position,angle,measurement_index,point_index,value,material,lenght,diammeter
70,Rod3,endN3,0,2,6,0.00052,al,182mm,1.6mm
71,Rod3,endN3,0,2,7,0.00085,al,182mm,1.6mm
72,Rod3,endN3,0,2,8,0.00118,al,182mm,1.6mm
73,Rod3,endN3,0,2,9,0.00184,al,182mm,1.6mm
74,Rod3,endN3,0,2,10,0.00184,al,182mm,1.6mm
75,Rod3,endN3,0,2,11,0.00249,al,182mm,1.6mm
76,Rod3,endN3,0,2,12,0.00249,al,182mm,1.6mm
77,Rod3,endN3,0,2,13,0.00299,al,182mm,1.6mm
78,Rod3,endN3,0,2,14,0.00315,al,182mm,1.6mm
79,Rod3,endN3,0,2,15,0.00364,al,182mm,1.6mm
80,Rod3,endN3,0,2,16,0.0043,al,182mm,1.6mm
81,Rod3,endN3,0,2,17,0.00479,al,182mm,1.6mm
82,Rod3,endN3,0,2,18,0.00496,al,182mm,1.6mm
83,Rod3,endN3,0,2,19,0.00512,al,182mm,1.6mm
84,Rod3,endN3,0,2,20,0.0071,al,182mm,1.6mm
85,Rod3,endN3,0,2,21,0.00923,al,182mm,1.6mm
86,Rod3,endN3,0,2,22,0.01055,al,182mm,1.6mm
87,Rod3,endN3,0,2,23,0.01252,al,182mm,1.6mm
88,Rod3,endN3,0,2,24,0.01449,al,182mm,1.6mm
89,Rod3,endN3,0,2,25,0.01564,al,182mm,1.6mm
90,Rod3,endN3,0,2,26,0.01778,al,182mm,1.6mm
91,Rod3,endN3,0,2,27,0.01959,al,182mm,1.6mm
92,Rod3,endN3,0,2,28,0.0214,al,182mm,1.6mm
93,Rod3,endN3,0,2,29,0.02288,al,182mm,1.6mm
94,Rod3,endN3,0,2,30,0.02485,al,182mm,1.6mm
95,Rod3,endN3,0,2,31,0.02666,al,182mm,1.6mm
96,Rod3,endN3,0,3,0,-0.00112,al,182mm,1.6mm
97,Rod3,endN3,0,3,1,-0.00112,al,182mm,1.6mm
98,Rod3,endN3,0,3,2,-0.00079,al,182mm,1.6mm
99,Rod3,endN3,0,3,3,-0.00047,al,182mm,1.6mm
100,Rod3,endN3,0,3,4,-0.00014,al,182mm,1.6mm
101,Rod3,endN3,0,3,5,0.00019,al,182mm,1.6mm
102,Rod3,endN3,0,3,6,0.00052,al,182mm,1.6mm
103,Rod3,endN3,0,3,7,0.00068,al,182mm,1.6mm
104,Rod3,endN3,0,3,8,0.00134,al,182mm,1.6mm
105,Rod3,endN3,0,3,9,0.00167,al,182mm,1.6mm
106,Rod3,endN3,0,3,10,0.00184,al,182mm,1.6mm
107,Rod3,endN3,0,3,11,0.00233,al,182mm,1.6mm
108,Rod3,endN3,0,3,12,0.00266,al,182mm,1.6mm
109,Rod3,endN3,0,3,13,0.00299,al,182mm,1.6mm
110,Rod3,endN3,0,3,14,0.00331,al,182mm,1.6mm
111,Rod3,endN3,0,3,15,0.00397,al,182mm,1.6mm
112,Rod3,endN3,0,3,16,0.00414,al,182mm,1.6mm
113,Rod3,endN3,0,3,17,0.00463,al,182mm,1.6mm
114,Rod3,endN3,0,3,18,0.00479,al,182mm,1.6mm
115,Rod3,endN3,0,3,19,0.00545,al,182mm,1.6mm
116,Rod3,endN3,0,3,20,0.0071,al,182mm,1.6mm
117,Rod3,endN3,0,3,21,0.00907,al,182mm,1.6mm
118,Rod3,endN3,0,3,22,0.01055,al,182mm,1.6mm
119,Rod3,endN3,0,3,23,0.01252,al,182mm,1.6mm
120,Rod3,endN3,0,3,24,0.01449,al,182mm,1.6mm
121,Rod3,endN3,0,3,25,0.01597,al,182mm,1.6mm
122,Rod3,endN3,0,3,26,0.01778,al,182mm,1.6mm
123,Rod3,endN3,0,3,27,0.01942,al,182mm,1.6mm
124,Rod3,endN3,0,3,28,0.0214,al,182mm,1.6mm
125,Rod3,endN3,0,3,29,0.0232,al,182mm,1.6mm
126,Rod3,endN3,0,3,30,0.02485,al,182mm,1.6mm
127,Rod3,endN3,0,3,31,0.02666,al,182mm,1.6mm
128,Rod3,endN3,0,4,0,-0.00096,al,182mm,1.6mm
129,Rod3,endN3,0,4,1,-0.00129,al,182mm,1.6mm
130,Rod3,endN3,0,4,2,-0.00079,al,182mm,1.6mm
131,Rod3,endN3,0,4,3,-0.00047,al,182mm,1.6mm
132,Rod3,endN3,0,4,4,-0.0003,al,182mm,1.6mm
133,Rod3,endN3,0,4,5,3e-05,al,182mm,1.6mm
134,Rod3,endN3,0,4,6,0.00068,al,182mm,1.6mm
135,Rod3,endN3,0,4,7,0.00068,al,182mm,1.6mm
136,Rod3,endN3,0,4,8,0.00134,al,182mm,1.6mm
137,Rod3,endN3,0,4,9,0.00167,al,182mm,1.6mm
138,Rod3,endN3,0,4,10,0.00167,al,182mm,1.6mm
139,Rod3,endN3,0,4,11,0.00233,al,182mm,1.6mm
140,Rod3,endN3,0,4,12,0.00266,al,182mm,1.6mm
141,Rod3,endN3,0,4,13,0.00299,al,182mm,1.6mm
142,Rod3,endN3,0,4,14,0.00331,al,182mm,1.6mm
143,Rod3,endN3,0,4,15,0.00364,al,182mm,1.6mm
144,Rod3,endN3,0,4,16,0.00414,al,182mm,1.6mm
145,Rod3,endN3,0,4,17,0.00447,al,182mm,1.6mm
146,Rod3,endN3,0,4,18,0.00512,al,182mm,1.6mm
147,Rod3,endN3,0,4,19,0.00529,al,182mm,1.6mm
148,Rod3,endN3,0,4,20,0.0071,al,182mm,1.6mm
149,Rod3,endN3,0,4,21,0.00923,al,182mm,1.6mm
150,Rod3,endN3,0,4,22,0.01055,al,182mm,1.6mm
151,Rod3,endN3,0,4,23,0.01252,al,182mm,1.6mm
152,Rod3,endN3,0,4,24,0.01416,al,182mm,1.6mm
153,Rod3,endN3,0,4,25,0.01597,al,182mm,1.6mm
154,Rod3,endN3,0,4,26,0.01762,al,182mm,1.6mm
155,Rod3,endN3,0,4,27,0.01959,al,182mm,1.6mm
156,Rod3,endN3,0,4,28,0.02173,al,182mm,1.6mm
157,Rod3,endN3,0,4,29,0.02304,al,182mm,1.6mm
158,Rod3,endN3,0,4,30,0.02468,al,182mm,1.6mm
159,Rod3,endN3,0,4,31,0.02666,al,182mm,1.6mm
160,Rod3,endN3,0,5,0,-0.00096,al,182mm,1.6mm
161,Rod3,endN3,0,5,1,-0.00129,al,182mm,1.6mm
162,Rod3,endN3,0,5,2,-0.00063,al,182mm,1.6mm
163,Rod3,endN3,0,5,3,-0.00063,al,182mm,1.6mm
164,Rod3,endN3,0,5,4,-0.00047,al,182mm,1.6mm
165,Rod3,endN3,0,5,5,0.00019,al,182mm,1.6mm
166,Rod3,endN3,0,5,6,0.00068,al,182mm,1.6mm
167,Rod3,endN3,0,5,7,0.00085,al,182mm,1.6mm
168,Rod3,endN3,0,5,8,0.00134,al,182mm,1.6mm
169,Rod3,endN3,0,5,9,0.00167,al,182mm,1.6mm
170,Rod3,endN3,0,5,10,0.00167,al,182mm,1.6mm
171,Rod3,endN3,0,5,11,0.00249,al,182mm,1.6mm
172,Rod3,endN3,0,5,12,0.00266,al,182mm,1.6mm
173,Rod3,endN3,0,5,13,0.00299,al,182mm,1.6mm
174,Rod3,endN3,0,5,14,0.00331,al,182mm,1.6mm
175,Rod3,endN3,0,5,15,0.00381,al,182mm,1.6mm
176,Rod3,endN3,0,5,16,0.0043,al,182mm,1.6mm
177,Rod3,endN3,0,5,17,0.00479,al,182mm,1.6mm
178,Rod3,endN3,0,5,18,0.00479,al,182mm,1.6mm
179,Rod3,endN3,0,5,19,0.00529,al,182mm,1.6mm
180,Rod3,endN3,0,5,20,0.00726,al,182mm,1.6mm
181,Rod3,endN3,0,5,21,0.00907,al,182mm,1.6mm
182,Rod3,endN3,0,5,22,0.01055,al,182mm,1.6mm
183,Rod3,endN3,0,5,23,0.01252,al,182mm,1.6mm
184,Rod3,endN3,0,5,24,0.01433,al,182mm,1.6mm
185,Rod3,endN3,0,5,25,0.01597,al,182mm,1.6mm
186,Rod3,endN3,0,5,26,0.01778,al,182mm,1.6mm
187,Rod3,endN3,0,5,27,0.01942,al,182mm,1.6mm
188,Rod3,endN3,0,5,28,0.0214,al,182mm,1.6mm
189,Rod3,endN3,0,5,29,0.02304,al,182mm,1.6mm
190,Rod3,endN3,0,5,30,0.02468,al,182mm,1.6mm
191,Rod3,endN3,0,5,31,0.02666,al,182mm,1.6mm
192,Rod3,endN3,0,6,0,-0.00129,al,182mm,1.6mm
193,Rod3,endN3,0,6,1,-0.00129,al,182mm,1.6mm
194,Rod3,endN3,0,6,2,-0.00079,al,182mm,1.6mm
195,Rod3,endN3,0,6,3,-0.00063,al,182mm,1.6mm
196,Rod3,endN3,0,6,4,-0.00047,al,182mm,1.6mm
197,Rod3,endN3,0,6,5,0.00036,al,182mm,1.6mm
198,Rod3,endN3,0,6,6,0.00052,al,182mm,1.6mm
199,Rod3,endN3,0,6,7,0.00085,al,182mm,1.6mm
200,Rod3,endN3,0,6,8,0.00118,al,182mm,1.6mm
201,Rod3,endN3,0,6,9,0.00184,al,182mm,1.6mm
202,Rod3,endN3,0,6,10,0.00184,al,182mm,1.6mm
203,Rod3,endN3,0,6,11,0.00249,al,182mm,1.6mm
204,Rod3,endN3,0,6,12,0.00266,al,182mm,1.6mm
205,Rod3,endN3,0,6,13,0.00315,al,182mm,1.6mm
206,Rod3,endN3,0,6,14,0.00331,al,182mm,1.6mm
207,Rod3,endN3,0,6,15,0.00364,al,182mm,1.6mm
208,Rod3,endN3,0,6,16,0.00414,al,182mm,1.6mm
209,Rod3,endN3,0,6,17,0.00447,al,182mm,1.6mm
210,Rod3,endN3,0,6,18,0.00479,al,182mm,1.6mm
211,Rod3,endN3,0,6,19,0.00512,al,182mm,1.6mm
212,Rod3,endN3,0,6,20,0.0071,al,182mm,1.6mm
213,Rod3,endN3,0,6,21,0.00923,al,182mm,1.6mm
214,Rod3,endN3,0,6,22,0.01055,al,182mm,1.6mm
215,Rod3,endN3,0,6,23,0.01268,al,182mm,1.6mm
216,Rod3,endN3,0,6,24,0.01433,al,182mm,1.6mm
217,Rod3,endN3,0,6,25,0.01597,al,182mm,1.6mm
218,Rod3,endN3,0,6,26,0.01778,al,182mm,1.6mm
219,Rod3,endN3,0,6,27,0.01942,al,182mm,1.6mm
220,Rod3,endN3,0,6,28,0.02156,al,182mm,1.6mm
221,Rod3,endN3,0,6,29,0.02288,al,182mm,1.6mm
222,Rod3,endN3,0,6,30,0.02468,al,182mm,1.6mm
223,Rod3,endN3,0,6,31,0.02666,al,182mm,1.6mm
224,Rod3,endN3,0,7,0,-0.00129,al,182mm,1.6mm
225,Rod3,endN3,0,7,1,-0.00112,al,182mm,1.6mm
226,Rod3,endN3,0,7,2,-0.00079,al,182mm,1.6mm
227,Rod3,endN3,0,7,3,-0.0003,al,182mm,1.6mm
228,Rod3,endN3,0,7,4,-0.00014,al,182mm,1.6mm
229,Rod3,endN3,0,7,5,0.00052,al,182mm,1.6mm
230,Rod3,endN3,0,7,6,0.00036,al,182mm,1.6mm
231,Rod3,endN3,0,7,7,0.00118,al,182mm,1.6mm
232,Rod3,endN3,0,7,8,0.00118,al,182mm,1.6mm
233,Rod3,endN3,0,7,9,0.00167,al,182mm,1.6mm
234,Rod3,endN3,0,7,10,0.00167,al,182mm,1.6mm
235,Rod3,endN3,0,7,11,0.00249,al,182mm,1.6mm
236,Rod3,endN3,0,7,12,0.00299,al,182mm,1.6mm
237,Rod3,endN3,0,7,13,0.00315,al,182mm,1.6mm
238,Rod3,endN3,0,7,14,0.00315,al,182mm,1.6mm
239,Rod3,endN3,0,7,15,0.00381,al,182mm,1.6mm
240,Rod3,endN3,0,7,16,0.0043,al,182mm,1.6mm
241,Rod3,endN3,0,7,17,0.00447,al,182mm,1.6mm
242,Rod3,endN3,0,7,18,0.00496,al,182mm,1.6mm
243,Rod3,endN3,0,7,19,0.00529,al,182mm,1.6mm
244,Rod3,endN3,0,7,20,0.00677,al,182mm,1.6mm
245,Rod3,endN3,0,7,21,0.00923,al,182mm,1.6mm
246,Rod3,endN3,0,7,22,0.01022,al,182mm,1.6mm
247,Rod3,endN3,0,7,23,0.01268,al,182mm,1.6mm
248,Rod3,endN3,0,7,24,0.01416,al,182mm,1.6mm
249,Rod3,endN3,0,7,25,0.01581,al,182mm,1.6mm
250,Rod3,endN3,0,7,26,0.01778,al,182mm,1.6mm
251,Rod3,endN3,0,7,27,0.01942,al,182mm,1.6mm
252,Rod3,endN3,0,7,28,0.0214,al,182mm,1.6mm
253,Rod3,endN3,0,7,29,0.02304,al,182mm,1.6mm
254,Rod3,endN3,0,7,30,0.02468,al,182mm,1.6mm
255,Rod3,endN3,0,7,31,0.02666,al,182mm,1.6mm
256,Rod3,endN3,0,8,0,-0.00145,al,182mm,1.6mm
257,Rod3,endN3,0,8,1,-0.00112,al,182mm,1.6mm
258,Rod3,endN3,0,8,2,-0.00079,al,182mm,1.6mm
259,Rod3,endN3,0,8,3,-0.00014,al,182mm,1.6mm
260,Rod3,endN3,0,8,4,-0.0003,al,182mm,1.6mm
261,Rod3,endN3,0,8,5,0.00019,al,182mm,1.6mm
262,Rod3,endN3,0,8,6,0.00052,al,182mm,1.6mm
263,Rod3,endN3,0,8,7,0.00101,al,182mm,1.6mm
264,Rod3,endN3,0,8,8,0.00134,al,182mm,1.6mm
265,Rod3,endN3,0,8,9,0.00151,al,182mm,1.6mm
266,Rod3,endN3,0,8,10,0.002,al,182mm,1.6mm
267,Rod3,endN3,0,8,11,0.00233,al,182mm,1.6mm
268,Rod3,endN3,0,8,12,0.00266,al,182mm,1.6mm
269,Rod3,endN3,0,8,13,0.00315,al,182mm,1.6mm
270,Rod3,endN3,0,8,14,0.00331,al,182mm,1.6mm
271,Rod3,endN3,0,8,15,0.00381,al,182mm,1.6mm
272,Rod3,endN3,0,8,16,0.0043,al,182mm,1.6mm
273,Rod3,endN3,0,8,17,0.00447,al,182mm,1.6mm
274,Rod3,endN3,0,8,18,0.00512,al,182mm,1.6mm
275,Rod3,endN3,0,8,19,0.00529,al,182mm,1.6mm
276,Rod3,endN3,0,8,20,0.00693,al,182mm,1.6mm
277,Rod3,endN3,0,8,21,0.00923,al,182mm,1.6mm
278,Rod3,endN3,0,8,22,0.01055,al,182mm,1.6mm
279,Rod3,endN3,0,8,23,0.01268,al,182mm,1.6mm
280,Rod3,endN3,0,8,24,0.01433,al,182mm,1.6mm
281,Rod3,endN3,0,8,25,0.01581,al,182mm,1.6mm
282,Rod3,endN3,0,8,26,0.01778,al,182mm,1.6mm
283,Rod3,endN3,0,8,27,0.01942,al,182mm,1.6mm
284,Rod3,endN3,0,8,28,0.0214,al,182mm,1.6mm
285,Rod3,endN3,0,8,29,0.02288,al,182mm,1.6mm
286,Rod3,endN3,0,8,30,0.02452,al,182mm,1.6mm
287,Rod3,endN3,0,8,31,0.02649,al,182mm,1.6mm
288,Rod3,endN3,0,9,0,-0.00112,al,182mm,1.6mm
289,Rod3,endN3,0,9,1,-0.00129,al,182mm,1.6mm
290,Rod3,endN3,0,9,2,-0.00096,al,182mm,1.6mm
291,Rod3,endN3,0,9,3,-0.00063,al,182mm,1.6mm
292,Rod3,endN3,0,9,4,3e-05,al,182mm,1.6mm
293,Rod3,endN3,0,9,5,0.00036,al,182mm,1.6mm
294,Rod3,endN3,0,9,6,0.00068,al,182mm,1.6mm
295,Rod3,endN3,0,9,7,0.00101,al,182mm,1.6mm
296,Rod3,endN3,0,9,8,0.00134,al,182mm,1.6mm
297,Rod3,endN3,0,9,9,0.00151,al,182mm,1.6mm
298,Rod3,endN3,0,9,10,0.002,al,182mm,1.6mm
299,Rod3,endN3,0,9,11,0.00249,al,182mm,1.6mm
300,Rod3,endN3,0,9,12,0.00266,al,182mm,1.6mm
301,Rod3,endN3,0,9,13,0.00315,al,182mm,1.6mm
302,Rod3,endN3,0,9,14,0.00331,al,182mm,1.6mm
303,Rod3,endN3,0,9,15,0.00364,al,182mm,1.6mm
304,Rod3,endN3,0,9,16,0.00414,al,182mm,1.6mm
305,Rod3,endN3,0,9,17,0.00479,al,182mm,1.6mm
306,Rod3,endN3,0,9,18,0.00496,al,182mm,1.6mm
307,Rod3,endN3,0,9,19,0.00545,al,182mm,1.6mm
308,Rod3,endN3,0,9,20,0.00693,al,182mm,1.6mm
309,Rod3,endN3,0,9,21,0.00907,al,182mm,1.6mm
310,Rod3,endN3,0,9,22,0.01055,al,182mm,1.6mm
311,Rod3,endN3,0,9,23,0.01252,al,182mm,1.6mm
312,Rod3,endN3,0,9,24,0.01433,al,182mm,1.6mm
313,Rod3,endN3,0,9,25,0.01614,al,182mm,1.6mm
314,Rod3,endN3,0,9,26,0.01794,al,182mm,1.6mm
315,Rod3,endN3,0,9,27,0.01959,al,182mm,1.6mm
316,Rod3,endN3,0,9,28,0.02123,al,182mm,1.6mm
317,Rod3,endN3,0,9,29,0.02304,al,182mm,1.6mm
318,Rod3,endN3,0,9,30,0.02485,al,182mm,1.6mm
319,Rod3,endN3,0,9,31,0.02649,al,182mm,1.6mm
320,Rod3,endN3,0,10,0,-0.00096,al,182mm,1.6mm
321,Rod3,endN3,0,10,1,-0.00145,al,182mm,1.6mm
322,Rod3,endN3,0,10,2,-0.00096,al,182mm,1.6mm
323,Rod3,endN3,0,10,3,-0.00063,al,182mm,1.6mm
324,Rod3,endN3,0,10,4,-0.0003,al,182mm,1.6mm
325,Rod3,endN3,0,10,5,3e-05,al,182mm,1.6mm
326,Rod3,endN3,0,10,6,0.00068,al,182mm,1.6mm
327,Rod3,endN3,0,10,7,0.00085,al,182mm,1.6mm
328,Rod3,endN3,0,10,8,0.00134,al,182mm,1.6mm
329,Rod3,endN3,0,10,9,0.00167,al,182mm,1.6mm
330,Rod3,endN3,0,10,10,0.00184,al,182mm,1.6mm
331,Rod3,endN3,0,10,11,0.00249,al,182mm,1.6mm
332,Rod3,endN3,0,10,12,0.00266,al,182mm,1.6mm
333,Rod3,endN3,0,10,13,0.00315,al,182mm,1.6mm
334,Rod3,endN3,0,10,14,0.00315,al,182mm,1.6mm
335,Rod3,endN3,0,10,15,0.00364,al,182mm,1.6mm
336,Rod3,endN3,0,10,16,0.00397,al,182mm,1.6mm
337,Rod3,endN3,0,10,17,0.00463,al,182mm,1.6mm
338,Rod3,endN3,0,10,18,0.00479,al,182mm,1.6mm
339,Rod3,endN3,0,10,19,0.00512,al,182mm,1.6mm
340,Rod3,endN3,0,10,20,0.0071,al,182mm,1.6mm
341,Rod3,endN3,0,10,21,0.00907,al,182mm,1.6mm
342,Rod3,endN3,0,10,22,0.01055,al,182mm,1.6mm
343,Rod3,endN3,0,10,23,0.01268,al,182mm,1.6mm
344,Rod3,endN3,0,10,24,0.01416,al,182mm,1.6mm
345,Rod3,endN3,0,10,25,0.01614,al,182mm,1.6mm
346,Rod3,endN3,0,10,26,0.01778,al,182mm,1.6mm
347,Rod3,endN3,0,10,27,0.01959,al,182mm,1.6mm
348,Rod3,endN3,0,10,28,0.0214,al,182mm,1.6mm
349,Rod3,endN3,0,10,29,0.02304,al,182mm,1.6mm
350,Rod3,endN3,0,10,30,0.02468,al,182mm,1.6mm
351,Rod3,endN3,0,10,31,0.02666,al,182mm,1.6mm
352,Rod3,endN3,0,11,0,-0.00112,al,182mm,1.6mm
353,Rod3,endN3,0,11,1,-0.00129,al,182mm,1.6mm
354,Rod3,endN3,0,11,2,-0.00063,al,182mm,1.6mm
355,Rod3,endN3,0,11,3,-0.00047,al,182mm,1.6mm
356,Rod3,endN3,0,11,4,-0.00014,al,182mm,1.6mm
357,Rod3,endN3,0,11,5,0.00019,al,182mm,1.6mm
358,Rod3,endN3,0,11,6,0.00052,al,182mm,1.6mm
359,Rod3,endN3,0,11,7,0.00085,al,182mm,1.6mm
360,Rod3,endN3,0,11,8,0.00134,al,182mm,1.6mm
361,Rod3,endN3,0,11,9,0.00167,al,182mm,1.6mm
362,Rod3,endN3,0,11,10,0.00184,al,182mm,1.6mm
363,Rod3,endN3,0,11,11,0.00233,al,182mm,1.6mm
364,Rod3,endN3,0,11,12,0.00266,al,182mm,1.6mm
365,Rod3,endN3,0,11,13,0.00331,al,182mm,1.6mm
366,Rod3,endN3,0,11,14,0.00315,al,182mm,1.6mm
367,Rod3,endN3,0,11,15,0.00381,al,182mm,1.6mm
368,Rod3,endN3,0,11,16,0.00414,al,182mm,1.6mm
369,Rod3,endN3,0,11,17,0.00463,al,182mm,1.6mm
370,Rod3,endN3,0,11,18,0.00479,al,182mm,1.6mm
371,Rod3,endN3,0,11,19,0.00529,al,182mm,1.6mm
372,Rod3,endN3,0,11,20,0.00693,al,182mm,1.6mm
373,Rod3,endN3,0,11,21,0.00907,al,182mm,1.6mm
374,Rod3,endN3,0,11,22,0.01055,al,182mm,1.6mm
375,Rod3,endN3,0,11,23,0.01268,al,182mm,1.6mm
376,Rod3,endN3,0,11,24,0.01433,al,182mm,1.6mm
377,Rod3,endN3,0,11,25,0.01581,al,182mm,1.6mm
378,Rod3,endN3,0,11,26,0.01794,al,182mm,1.6mm
379,Rod3,endN3,0,11,27,0.01959,al,182mm,1.6mm
380,Rod3,endN3,0,11,28,0.0214,al,182mm,1.6mm
381,Rod3,endN3,0,11,29,0.02304,al,182mm,1.6mm
382,Rod3,endN3,0,11,30,0.02485,al,182mm,1.6mm
383,Rod3,endN3,0,11,31,0.02633,al,182mm,1.6mm
384,Rod3,endN3,0,12,0,-0.00096,al,182mm,1.6mm
385,Rod3,endN3,0,12,1,-0.00129,al,182mm,1.6mm
386,Rod3,endN3,0,12,2,-0.00079,al,182mm,1.6mm
387,Rod3,endN3,0,12,3,-0.00047,al,182mm,1.6mm
388,Rod3,endN3,0,12,4,3e-05,al,182mm,1.6mm
389,Rod3,endN3,0,12,5,0.00019,al,182mm,1.6mm
390,Rod3,endN3,0,12,6,0.00052,al,182mm,1.6mm
391,Rod3,endN3,0,12,7,0.00101,al,182mm,1.6mm
392,Rod3,endN3,0,12,8,0.00134,al,182mm,1.6mm
393,Rod3,endN3,0,12,9,0.00184,al,182mm,1.6mm
394,Rod3,endN3,0,12,10,0.00167,al,182mm,1.6mm
395,Rod3,endN3,0,12,11,0.00266,al,182mm,1.6mm
396,Rod3,endN3,0,12,12,0.00249,al,182mm,1.6mm
397,Rod3,endN3,0,12,13,0.00299,al,182mm,1.6mm
398,Rod3,endN3,0,12,14,0.00331,al,182mm,1.6mm
399,Rod3,endN3,0,12,15,0.00364,al,182mm,1.6mm
400,Rod3,endN3,0,12,16,0.00414,al,182mm,1.6mm
401,Rod3,endN3,0,12,17,0.00447,al,182mm,1.6mm
402,Rod3,endN3,0,12,18,0.00512,al,182mm,1.6mm
403,Rod3,endN3,0,12,19,0.00496,al,182mm,1.6mm
404,Rod3,endN3,0,12,20,0.0071,al,182mm,1.6mm
405,Rod3,endN3,0,12,21,0.00923,al,182mm,1.6mm
406,Rod3,endN3,0,12,22,0.01038,al,182mm,1.6mm
